Date:,Mon 26 Sep 2022 07:49:17 PM EDT,,,,,,,,,,,
Tool:,Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1,,,,,,,,,,,
Component Count:,60,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MANUFACTURER,STANDARD,Spice_Lib_File,Spice_Model,Spice_Netlist_Enabled,Spice_Primitive
19,2,"R3, R5",2.2k,Device:R_US,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,2.2k,Y,R
20,2,"R8, R20",4.7k,Device:R_US,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,1k,Y,R
21,3,"R12, R16, R17",1k,Device:R_US,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,1k,Y,R
22,1,R15,330,Device:R_US,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,1k,Y,R
23,1,R19,470,Device:R_US,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,
24,1,RV1,50k,Device:R_Potentiometer_US,Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm,~,,,,,,
25,1,RV2,100k,Device:R_Potentiometer_US,Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm,~,,,/media/nick/3TB_HDD/College Documents/Personal/Coil Labs Files/kicad_basic_models/others/50kpot.lib,pot50k,Y,X
26,2,"SW1, SW2",SW_SPDT,Switch:SW_SPDT,Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm,~,,,,,,
27,1,SW3,SW_SP3T,Switch:SW_SP3T,Connector_Wire:SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm,~,,,,,,
28,1,T1,FS28-200-C2,FS28-200-C2:FS28-200-C2,FS28-200-C2:TRANSFORMER_FS28-200-C2,,Triad,Manufacturer Recommendations,,,,
29,1,U1,LM7812_TO220,Regulator_Linear:LM7812_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF,,,/media/nick/3TB_HDD/College Documents/Personal/Coil Labs Files/kicad_spice_library/Models/uncategorized/Bordodynovs Electronics Lib/sub/regulators.lib,LM7812,Y,X
30,3,"U2, U3, U4",NE555P,Timer:NE555P,Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/ne555.pdf,,,/media/nick/3TB_HDD/College Documents/Personal/Coil Labs Files/kicad_spice_library/Models/uncategorized/Bordodynovs Electronics Lib/sub/timers.lib,NE555,Y,X
